model library /var/lib/llmtune/models  (NFS-exported read-only to nodes)

  LFM2.5-8B-A1B-UD-Q8_K_XL.gguf                  8B-A1B     8.7G   Q8_K_XL  lfm2moe
  Llama-3.2-3B-Instruct-Q8_0.gguf                    3B     3.2G      Q8_0  llama
  MiniCPM5-2B-Q8_0.gguf                              2B     2.5G      Q8_0  llama
  Mistral-Small-3.2-24B-Instruct-2506-IQ4_XS.gguf      24B    11.9G    IQ4_XS  llama
  Mistral-Small-3.2-24B-mmproj-F16.gguf             24B     0.8G       F16  clip
  Ornith-1.5-9B-Q8_0.gguf                            9B     9.1G      Q8_0  qwen35
  Qwen3.6-35B-A3B-UD-IQ2_M.gguf                 35B-A3B    10.7G     IQ2_M  qwen35moe
  Qwen3.6-35B-A3B-UD-IQ3_XXS.gguf               35B-A3B    12.3G   IQ3_XXS  qwen35moe
  Qwen3.6-35B-A3B-Uncensored-HauhauCS-Aggressive-IQ2_M.gguf  35B-A3B    10.9G     IQ2_M  qwen35moe
  Qwen3.8-27B-UD-IQ2_S.gguf                         27B     7.8G     IQ2_S  qwen35
  Qwen3.8-27B-UD-IQ3_XXS.gguf                       27B    10.2G   IQ3_XXS  qwen35
  Ternary-Bonsai-27B-Q2_0.gguf                      27B     6.7G      Q2_0  qwen35
  Ternary-Bonsai-27B-mmproj-Q8_0.gguf               27B     0.6G      Q8_0  clip
  gemma-4-12B-it-qat-UD-Q4_K_XL.gguf                12B     6.3G   Q4_K_XL  gemma4
  gemma-4-12B-mmproj-F16.gguf                       12B     0.2G       F16  clip
  gemma-4-31B-it-UD-IQ2_M.gguf                      31B    10.0G     IQ2_M  gemma4
  gemma-4-31B-mmproj-F16.gguf                       31B     1.1G       F16  clip
  mmproj-Ornith-1.5-9B-BF16.gguf                     9B     0.9G      BF16  clip

18 models, 113.8 GiB
